Column1;Listing;Price;SQMUP;Room Info;Area;Location;Ads
1;Dwu pokojowe mieszkanie w Warszawie (Stare Wlochy);660000;11551;2;57.14;Włochy;Oferta prywatna
2;3 pokoje 48m2 + ogródek 100m2;860000;17917;3;48.0;Ursynów;Oferta prywatna
3;Piękne 3 pokojowe mieszanie na sprzedaż 755 000zł;755000;15567;3;48.5;Ochota;Oferta prywatna
4;Piękny, nowoczesny apartament;2177000;17416;4;125.0;Wilanów;Biuro nieruchomości
5;Słoneczna/Inwestycyjna Kawalerka na Saskiej Kępie;539000;17387;1;31.0;Praga-Południe;Biuro nieruchomości
6;Piękny i nowoczesny penthouse z zadaszonym tarasem;2490000;23491;4;106.0;Wilanów;Biuro nieruchomości
7;Przytulne mieszkanie 52m2 na Białołęce z balkonem;700000;13233;3;52.9;Białołęka;Biuro nieruchomości
8;Przytulne Mieszkanie Na Ursynowie;799000;15098;3;52.92;Ursynów;Biuro nieruchomości
9;3 pokoje, Wola, Długosza, ogródek;733180;14000;3;52.37;Wola;Biuro nieruchomości
10;Luksusowy penthouse | 2 tarasy | Klimatyzacja;4200000;26415;5;159.0;Ursynów;Biuro nieruchomości
11;Przy Parku Szczęśliwickim | 3 miejsca parkingowe;4500000;39130;4;115.0;Ochota;Biuro nieruchomości
12;Apartament w kamienicy,klimatyzacja, parking,basen;3800000;46914;3;81.0;Śródmieście;Biuro nieruchomości
13;Metro Świętokrzyska | Klimatyzacja, parking;1900000;23750;4;80.0;Śródmieście;Biuro nieruchomości
14;Apartament z tarasem na dachu, Stary Wilanów;5551357;18989;5;292.34;Wilanów;Biuro nieruchomości
15;3 pokojowy apartament przy metrze-wysoki standard;1169000;18821;3;62.11;Bemowo;Oferta prywatna
16;Przytulna kawalerka na Białołęce;429000;12655;1;33.9;Białołęka;Oferta prywatna
17;Bezpośrednio - 4 pokoje,Stare Bielany,Metro;951300;17079;4;55.7;Bielany;Oferta prywatna
18;Metro Młynów ~ Przedwojenna Kamienica ~ 1/2 pok.;539000;15578;1;34.6;Wola;Biuro nieruchomości
19;2 pok, gotowe do zamieszkania, blisko metra BEZPOŚ;780000;17333;2;45.0;Stare Babice;Oferta prywatna
20;Sprzedam 4 pok. mieszkanie z kominkiem i ogródkiem;1800000;14516;4;124.0;Bemowo;Oferta prywatna
21;Sprzedam Mieszkanie Stary Zoliborz;1699932;16666;3;102.0;Żoliborz;Oferta prywatna
22;Komfortowe 3 pok. z antresolą*Przy SKM*Blisko lasu;790000;14456;3;54.65;Wawer;Oferta prywatna
23;Na sprzedaż 2 pok. mieszkanie na Starym Żoliborz;650000;17105;2;38.0;Żoliborz;Biuro nieruchomości
24;Żoliborz. Kawalerka. Kamienica 1938.;465000;14091;1;33.0;Żoliborz;Biuro nieruchomości
25;2 pokoje gotowe do wprowadzenia Okazja;550000;13095;2;42.0;Bielany;Biuro nieruchomości
26;Bezpośrednio Apartament 144m 2 z ogrodem na dachu;2300000;15972;5;144.0;Bemowo;Oferta prywatna
27;Mieszkanie na sprzedaż, Warszawa, Bielany 3 pokoje;680000;12252;3;55.5;Bielany;Biuro nieruchomości
28;Apartament 4 pokoje, 10m2 taras,garaż, winda.;1558200;16937;4;92.0;Wilanów;Biuro nieruchomości
29;Ciche, prestiżowe mieszkanie w Miasteczku Wilanów;930000;16909;3;55.0;Wilanów;Oferta prywatna
30;Piękne, przestronne mieszkanie Warszawa - Ursus;910000;11949;3;76.16;Ursus;Oferta prywatna
31;Wyjątkowy apartament z kominkiem i ogrodem Wilanów;1990000;12922;4;154.0;Wilanów;Biuro nieruchomości
32;Nowy penthouse - Saska Kępa, wysokość w salonie 6m;3900000;25995;7;150.03;Praga-Południe;Biuro nieruchomości
33;Penthouse 2 poziomy wysokość salonu 6m, Saska Kępa;3400000;28571;4;119.0;Praga-Południe;Biuro nieruchomości
34;Mokotów-Służewiec-3 pok-72,27mkw-garaż,komórka;1550000;21447;3;72.27;Mokotów;Oferta prywatna
35;Mieszkanie, 50 m², Warszawa;699000;13980;2;50.0;Bemowo;Oferta prywatna
36;SKM Miedzeszyn, dom 37 m2, działka 140 m2;397000;10730;2;37.0;Wawer;Oferta prywatna
37;Astronomów 9, 2 pokoje, wysoki standard;670000;17403;2;38.5;Wola;Oferta prywatna
38;Komfortowe mieszkanie, 3 pokoje, 58m2, Bemowo;970000;16581;3;58.5;Bemowo;Biuro nieruchomości
39;Kklimatyczne mieszkanie w kamienicy na Powiślu;1785000;21000;4;85.0;Śródmieście;Biuro nieruchomości
40;2 pokoje z balkonem i garażem na Woli;995000;20798;2;47.84;Wola;Biuro nieruchomości
41;Apartament w kamienicy!!! Warszawa centrum !!!;1500000;27778;2;54.0;Wola;Biuro nieruchomości
