,Listing,Price,SQMUP,Room Info,Area,Location,Ads
0,Dwu pokojowe mieszkanie w Warszawie (Stare Wlochy),660 000 ,11 551 ,2 ,57.14  ,"ul. Zapustna, Stare Włochy, Włochy, Warszawa, mazowieckie",Oferta prywatna
1,3 pokoje 48m2 + ogródek 100m2,860 000 ,17 917 ,3 ,48  ,"Natolin, Ursynów, Warszawa, mazowieckie",Oferta prywatna
2,Piękne 3 pokojowe mieszanie na sprzedaż 755 000zł,755 000 ,15 567 ,3 ,48.5  ,"Szczęśliwice, Ochota, Warszawa, mazowieckie",Oferta prywatna
3,"Piękny, nowoczesny apartament",2 177 000 ,17 416 ,4 ,125  ,"Zawady, Wilanów, Warszawa, mazowieckie",Eurovilla Wilanów Sp. z o.o.Biuro nieruchomości
4,Słoneczna/Inwestycyjna Kawalerka na Saskiej Kępie,539 000 ,17 387 ,1 ,31  ,"Saska Kępa, Praga-Południe, Warszawa, mazowieckie",homfi sp. z o.o.Biuro nieruchomości
5,Piękny i nowoczesny penthouse z zadaszonym tarasem,2 490 000 ,23 491 ,4 ,106  ,"ul. Bruzdowa, Zawady, Wilanów, Warszawa, mazowieckie",WARSAW BROKERBiuro nieruchomości
6,Przytulne mieszkanie 52m2 na Białołęce z balkonem,700 000 ,13 233 ,3 ,52.9  ,"ul. Aluzyjna, Nowodwory, Białołęka, Warszawa, mazowieckie",Nieruchomościownia sp. z o.o.Biuro nieruchomości
7,Przytulne Mieszkanie Na Ursynowie,799 000 ,15 098 ,3 ,52.92  ,"Pyry, Ursynów, Warszawa, mazowieckie",Nieruchomościownia sp. z o.o.Biuro nieruchomości
8,"3 pokoje, Wola, Długosza, ogródek",733 180 ,14 000 ,3 ,52.37  ,"ul. Jana Długosza, Młynów, Wola, Warszawa, mazowieckie",Tandem Home IQBiuro nieruchomości
9,Luksusowy penthouse | 2 tarasy | Klimatyzacja,4 200 000 ,26 415 ,5 ,159  ,"ul. Relaksowa, Kabaty, Ursynów, Warszawa, mazowieckie",Golden KeyBiuro nieruchomości
10,Przy Parku Szczęśliwickim | 3 miejsca parkingowe,4 500 000 ,39 130 ,4 ,115  ,"ul. Maszynowa, Szczęśliwice, Ochota, Warszawa, mazowieckie",Golden KeyBiuro nieruchomości
11,"Apartament w kamienicy,klimatyzacja, parking,basen",3 800 000 ,46 914 ,3 ,81  ,"ul. Hoża, Śródmieście Południowe, Śródmieście, Warszawa, mazowieckie",Golden KeyBiuro nieruchomości
12,"Metro Świętokrzyska | Klimatyzacja, parking",1 900 000 ,23 750 ,4 ,80  ,"ul. Marszałkowska, Śródmieście Południowe, Śródmieście, Warszawa, mazowieckie",Golden KeyBiuro nieruchomości
13,"Apartament z tarasem na dachu, Stary Wilanów",5 551 357 ,18 989 ,5 ,292.34  ,"ul. Rumiana, Wilanów Niski, Wilanów, Warszawa, mazowieckie",Golden KeyBiuro nieruchomości
14,3 pokojowy apartament przy metrze-wysoki standard,1 169 000 ,18 821 ,3 ,62.11  ,"ul. Narwik 16, Górce, Bemowo, Warszawa, mazowieckie",Oferta prywatna
15,Przytulna kawalerka na Białołęce,429 000 ,12 655 ,1 ,33.9  ,"ul. Skarbka z Gór, Grodzisk, Białołęka, Warszawa, mazowieckie",Oferta prywatna
16,"Bezpośrednio - 4 pokoje,Stare Bielany,Metro",951 300 ,17 079 ,4 ,55.7  ,"Stare Bielany, Bielany, Warszawa, mazowieckie",Oferta prywatna
17,Metro Młynów ~ Przedwojenna Kamienica ~ 1/2 pok.,539 000 ,15 578 ,1 ,34.6  ,"Młynów, Wola, Warszawa, mazowieckie",UNIQUE PARTNERSBiuro nieruchomości
18,"2 pok, gotowe do zamieszkania, blisko metra BEZPOŚ",780 000 ,17 333 ,2 ,45  ,"Blizne Łaszczyńskiego, Stare Babice, warszawski zachodni, mazowieckie",Oferta prywatna
19,Sprzedam 4 pok. mieszkanie z kominkiem i ogródkiem,1 800 000 ,14 516 ,4 ,124  ,"ul. Antoniego Kocjana, Groty, Bemowo, Warszawa, mazowieckie",Oferta prywatna
20,Sprzedam Mieszkanie Stary Zoliborz,1 699 932 ,16 666 ,3 ,102  ,"ul. ks. Jerzego Popiełuszki, Sady Żoliborskie, Żoliborz, Warszawa, mazowieckie",Oferta prywatna
21,Komfortowe 3 pok. z antresolą*Przy SKM*Blisko lasu,790 000 ,14 456 ,3 ,54.65  ,"ul. Szumna, Marysin Wawerski, Wawer, Warszawa, mazowieckie",Oferta prywatna
22,Na sprzedaż 2 pok. mieszkanie na Starym Żoliborz,650 000 ,17 105 ,2 ,38  ,"ul. ks. Jerzego Popiełuszki, Sady Żoliborskie, Żoliborz, Warszawa, mazowieckie",DOMUS NOVABiuro nieruchomości
23,Żoliborz. Kawalerka. Kamienica 1938.,465 000 ,14 091 ,1 ,33  ,"Stary Żoliborz, Żoliborz, Warszawa, mazowieckie",WAWA-EstateBiuro nieruchomości
24,2 pokoje gotowe do wprowadzenia Okazja,550 000 ,13 095 ,2 ,42  ,"Huta, Bielany, Warszawa, mazowieckie",Clic Nieruchomości Sp. z o. o.Biuro nieruchomości
25,Bezpośrednio Apartament 144m 2 z ogrodem na dachu,2 300 000 ,15 972 ,5 ,144  ,"ul. gen. Tadeusza Pełczyńskiego, Górce, Bemowo, Warszawa, mazowieckie",Oferta prywatna
26,"Mieszkanie na sprzedaż, Warszawa, Bielany 3 pokoje",680 000 ,12 252 ,3 ,55.5  ,"ul. Starej Baśni, Słodowiec, Bielany, Warszawa, mazowieckie",Metrohouse  Franchise S.A.Biuro nieruchomości
27,"Apartament 4 pokoje, 10m2 taras,garaż, winda.",1 558 200 ,16 937 ,4 ,92  ,"ul. Marconich, Wilanów Wysoki, Wilanów, Warszawa, mazowieckie",Metrohouse  Franchise S.A.Biuro nieruchomości
28,"Ciche, prestiżowe mieszkanie w Miasteczku Wilanów",930 000 ,16 909 ,3 ,55  ,"ul. Adama Branickiego, Błonia Wilanowskie, Wilanów, Warszawa, mazowieckie",Oferta prywatna
29,"Piękne, przestronne mieszkanie Warszawa - Ursus",910 000 ,11 949 ,3 ,76.16  ,"ul. Elżbiety Rakuszanki, Gołąbki, Ursus, Warszawa, mazowieckie",Oferta prywatna
30,Wyjątkowy apartament z kominkiem i ogrodem Wilanów,1 990 000 ,12 922 ,4 ,154  ,"ul. Zapłocie, Powsin, Wilanów, Warszawa, mazowieckie",AD.DRĄGOWSKIBiuro nieruchomości
31,"Nowy penthouse - Saska Kępa, wysokość w salonie 6m",3 900 000 ,25 995 ,7 ,150.03  ,"ul. Międzynarodowa, Saska Kępa, Praga-Południe, Warszawa, mazowieckie",AD.DRĄGOWSKIBiuro nieruchomości
32,"Penthouse 2 poziomy wysokość salonu 6m, Saska Kępa",3 400 000 ,28 571 ,4 ,119  ,"ul. Międzynarodowa, Saska Kępa, Praga-Południe, Warszawa, mazowieckie",AD.DRĄGOWSKIBiuro nieruchomości
