,Listing,Price,SQMUP,Room Info,Area,Location,Ads
0,"Mieszkanie 55m2 po remoncie, balkon Mokotów",820 000 ,14 909 ,3 ,55  ,"Stary Mokotów, Mokotów, Warszawa, mazowieckie",Biuro nieruchomości
1,Sprzedam 4 pokojowe 96 m na Mokotowie,1 400 000 ,14 583 ,4 ,96  ,"Wierzbno, Mokotów, Warszawa, mazowieckie",Biuro nieruchomości
2,Do odświeżenia,780 000 ,10 894 ,3 ,71.6  ,"Grodzisk, Białołęka, Warszawa, mazowieckie",Biuro nieruchomości
3,REZERWACJA! Idealne dla Pary lub na Inwestycje,560 000 ,12 444 ,2 ,45  ,"Stary Żoliborz, Żoliborz, Warszawa, mazowieckie",Biuro nieruchomości
4,Mieszkanie Mokotów,720 000 ,17 143 ,2 ,42  ,"Służew, Mokotów, Warszawa, mazowieckie",Biuro nieruchomości
5,3 pokoje przy metrze | 61m2 | widna kuchnia,729 000 ,11 951 ,3 ,61  ,"ul. Związku Walki Młodych, Ursynów Północny, Ursynów, Warszawa, mazowieckie",Biuro nieruchomości
6,2 pokoje mieszkanie w kamienicy na Mokotowie,849 950 ,16 999 ,2 ,50  ,"ul. Rabindranatha Tagore, Wierzbno, Mokotów, Warszawa, mazowieckie",Biuro nieruchomości
7,Panoramiczny Penthause na warszawskim Żoliborzu,5 999 999 ,21 661 ,6 ,277  ,"Marymont-Potok, Żoliborz, Warszawa, mazowieckie",Biuro nieruchomości
8,Parter NAJNIŻSZY CZYNSZ W MIEŚCIE pompa ciepła oze,370 852 ,13 735 ,1 ,27  ,"ul. Leona Berensona 131, Grodzisk, Białołęka, Warszawa, mazowieckie",Biuro nieruchomości
9,Mieszkanie z najniżymi kosztami eksploatacji OZE,694 278 ,12 900 ,3 ,53.82  ,"Nowodwory, Białołęka, Warszawa, mazowieckie",Biuro nieruchomości
10,Przestronne mieszkanie 70m2 |Białołęka|Od Teraz!,850 000 ,12 143 ,4 ,70  ,"Arcangela Corellego, Kobiałka, Białołęka, Warszawa, mazowieckie",Inwestycja deweloperska
11,Świetna kawalerka z pięknym widokiem na ogród,430 000 ,14 828 ,2 ,29  ,"Grochów, Praga-Południe, Warszawa, mazowieckie",Biuro nieruchomości
12,Znakomita lokalizacja 3 pokoje z osobną kuchnią,716 000 ,14 917 ,3 ,48  ,"ul. Aleksandra Gierymskiego, Sielce, Mokotów, Warszawa, mazowieckie",Biuro nieruchomości
13,Nowe Mieszkania w zrewitalizowanej kamienicy,569 250 ,11 500 ,3 ,49.5  ,"ul. Główna, Nowodwory, Białołęka, Warszawa, mazowieckie",Biuro nieruchomości
14,LOFT GARDEN Wesoła ETAP II 53-99m2 - apart. LOFT,998 700 ,10 009 ,4 ,99.78  ,"Zielona-Grzybowa, Wesoła, Warszawa, mazowieckie",Inwestycja deweloperska
15,KAWALERKA SASKA KĘPA (ul.Paryska) 34m2 Na 2 Pokoje,525 000 ,16 154 ,1 ,32.5  ,"ul. Paryska, Saska Kępa, Praga-Południe, Warszawa, mazowieckie",Biuro nieruchomości
16,Urokliwe 2 - poziomowe mieszkanie | bezczynszowe,978 000 ,8504 ,4 ,115  ,"Nadwiśle, Wawer, Warszawa, mazowieckie",Inwestycja deweloperska
17,Apartament na dolnym Mokotowie - bezpośrednio,880 000 ,18 605 ,2 ,47.3  ,"ul. Bluszczańska 4, Siekierki, Mokotów, Warszawa, mazowieckie",Inwestycja deweloperska
18,Bokserska 71A | Nowy apartament | Wysoki standard,1 699 999 ,18 612 ,4 ,91.34  ,"ul. Bokserska, Służewiec, Mokotów, Warszawa, mazowieckie",Inwestycja deweloperska
19,3 pokojowe mieszkanie w kamienicy z 1933r. balkon,1 496 000 ,17 000 ,3 ,88  ,"Stara Praga, Praga-Północ, Warszawa, mazowieckie",Inwestycja deweloperska
20,Segment trzypoziomowy- 2 miejsca postojowe gratis!,699 000 ,7281 ,5 ,96  ,"Groszówka, Wesoła, Warszawa, mazowieckie",Biuro nieruchomości
21,MIESZKANIE 4-POKOJE balkon - ładny rozkład WAWER,937 272 ,9134 ,4 ,102.61  ,"Międzylesie, Wawer, Warszawa, mazowieckie",Biuro nieruchomości
22,"dwupoziomowe, Ostatnie piętro, Taras, bez Pcc",1 800 000 ,15 235 ,4 ,118.15  ,"ul. Krańcowa, Stare Włochy, Włochy, Warszawa, mazowieckie",Biuro nieruchomości
23,4-pokojowe mieszkanie 75m2 + ogródek,Zapytaj o cenę4 pokoje75.55 m²,,,,"ul. Rzędziana, Brzeziny, Białołęka, Warszawa, mazowieckie",Biuro nieruchomości
