ProductKey;OrderDateKey;DueDateKey;ShipDateKey;CustomerKey;SalesTerritoryKey;SalesOrderNumber;OrderQuantity;ProductStandardCost;SalesAmount
314;20200101;20200113;20200108;27606;1;SO43711;1;2171,2942;3578,27
311;20200101;20200113;20200108;13513;8;SO43712;1;2171,2942;3578,27
310;20200102;20200114;20200109;27601;4;SO43713;1;2171,2942;3578,27
311;20200102;20200114;20200109;13591;10;SO43714;1;2171,2942;3578,27
314;20200102;20200114;20200109;16483;9;SO43715;1;2171,2942;3578,27
311;20200102;20200114;20200109;16529;9;SO43716;1;2171,2942;3578,27
336;20200102;20200114;20200109;25249;9;SO43717;1;413,1463;699,0982
311;20200103;20200115;20200110;27668;1;SO43718;1;2171,2942;3578,27
312;20200103;20200115;20200110;27612;4;SO43719;1;2171,2942;3578,27
311;20200103;20200115;20200110;13264;8;SO43720;1;2171,2942;3578,27
310;20200103;20200115;20200110;13590;10;SO43721;1;2171,2942;3578,27
312;20200104;20200116;20200111;13581;10;SO43722;1;2171,2942;3578,27
332;20200104;20200116;20200111;14520;1;SO43723;1;413,1463;699,0982
311;20200104;20200116;20200111;16520;9;SO43724;1;2171,2942;3578,27
311;20200105;20200117;20200112;13258;8;SO43725;1;2171,2942;3578,27
332;20200105;20200117;20200112;14560;4;SO43726;1;413,1463;699,0982
311;20200105;20200117;20200112;16607;9;SO43727;1;2171,2942;3578,27
313;20200106;20200118;20200113;27666;4;SO43728;1;2171,2942;3578,27
346;20200106;20200118;20200113;11238;10;SO43729;1;1912,1544;3399,99
346;20200106;20200118;20200113;25861;4;SO43730;1;1912,1544;3399,99
314;20200106;20200118;20200113;16629;9;SO43731;1;2171,2942;3578,27
350;20200106;20200118;20200113;11025;9;SO43732;1;1898,0944;3374,99
312;20200106;20200118;20200113;27577;1;SO43733;1;2171,2942;3578,27
312;20200107;20200119;20200114;27604;1;SO43734;1;2171,2942;3578,27
310;20200107;20200119;20200114;16522;9;SO43735;1;2171,2942;3578,27
346;20200107;20200119;20200114;11002;9;SO43736;1;1912,1544;3399,99
311;20200108;20200120;20200115;13261;8;SO43737;1;2171,2942;3578,27
312;20200108;20200120;20200115;11606;7;SO43738;1;2171,2942;3578,27
